Customer ID,Gender,Age,Married,Dependents,Number of Dependents,Age Range,Referred a Friend,Number of Referrals,Tenure in Months,Quarter,Month,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Churn Score Category,CLTV Category,Customers
3606-TWKGI,Male,68,0,0,0,3,0,0,13,Q3,9,1,32.68,1,1,3,11,0,1,1,0,1,1,0,0,1,1,1,106.9,1364.3,0,10,424.84,1799.14,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices,Group 4,Group 1,3606
4385-GZQXV,Female,68,0,0,0,3,0,0,16,Q3,8,1,9.43,0,1,2,9,0,0,0,1,1,1,1,1,1,1,1,94.45,1511.2,0,0,150.88,1662.08,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices,Group 4,Group 2,4385
3488-PGMQJ,Male,66,0,0,0,3,0,0,8,Q3,8,1,1.78,0,1,2,7,0,1,0,0,0,0,0,1,1,1,1,74.5,606.55,0,0,14.24,620.79,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support,Group 4,Group 2,3488
7534-BFESC,Male,69,0,0,0,3,0,0,24,Q3,9,1,30.87,1,1,2,15,0,0,0,0,0,0,0,1,1,1,1,76.1,1712.7,0,0,740.88,2453.58,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer,Group 4,Group 1,7534
8098-LLAZX,Female,74,0,0,0,3,0,0,4,Q3,8,1,31.61,1,1,2,2,0,0,0,0,1,1,0,1,1,1,1,95.45,396.1,0,0,126.44,522.54,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer,Group 4,Group 2,8098
0265-EDXBD,Male,76,1,0,0,3,1,2,32,Q3,8,1,47.34,1,1,2,10,0,0,0,0,0,0,0,1,1,1,1,74.9,2303.35,0,0,1514.88,3818.23,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person,Group 3,Group 2,265
2840-XANRC,Male,77,1,0,0,3,1,1,24,Q3,7,1,16.1,0,1,3,12,0,0,1,0,1,1,1,1,1,1,1,93.15,2231.05,0,0,386.4,2617.45,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer,Group 3,Group 1,2840
5020-ZSTTY,Female,70,0,0,0,3,0,0,54,Q3,8,1,12.08,1,1,1,5,1,1,0,1,1,1,1,1,2,0,1,82.45,4350.1,0,0,652.32,5002.42,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer,Group 4,Group 2,5020
5804-LEPIM,Female,74,0,0,0,3,0,0,2,Q3,8,1,13.17,0,1,2,10,0,0,0,0,0,0,0,1,1,1,1,70.35,139.05,0,0,26.34,165.39,3,Churned,Yes,1,73,2671,Other,Don't know,Group 3,Group 1,5804
0623-IIHUG,Female,77,0,0,0,3,0,0,21,Q3,9,0,0,0,1,3,8,1,0,0,0,1,0,0,1,1,1,1,41.9,840.1,0,0,0,840.1,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer,Group 4,Group 3,623
9057-MSWCO,Male,71,1,0,0,3,0,0,27,Q3,8,0,0,0,1,3,13,1,0,0,0,0,0,0,0,1,0,2,30.75,805.1,0,140,0,945.1,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer,Group 4,Group 1,9057
4895-TMWIR,Male,79,1,0,0,3,1,1,11,Q3,8,1,29.54,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,19.95,214.75,0,0,324.94,539.69,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer,Group 4,Group 4,4895
0533-BNWKF,Female,66,1,0,0,3,1,2,55,Q3,9,1,42.82,1,1,2,27,0,1,1,0,0,0,0,0,1,1,1,85.45,4874.7,0,90,2355.1,7319.8,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer,Group 4,Group 4,533
0334-GDDSO,Male,77,0,0,0,3,0,0,3,Q3,9,1,9.22,1,1,2,14,0,1,0,0,0,0,0,1,1,1,1,81.35,233.7,0,0,27.66,261.36,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer,Group 3,Group 1,334
5564-NEMQO,Female,80,0,0,0,3,0,0,1,Q3,9,1,35.09,0,1,2,17,0,0,1,0,0,0,0,0,1,1,1,75.3,75.3,0,20,35.09,130.39,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability,Group 3,Group 3,5564
6235-VDHOM,Female,77,0,0,0,3,0,0,5,Q3,7,0,0,0,1,1,26,0,1,0,0,0,0,0,1,1,0,1,28.45,131.05,0,0,0,131.05,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services,Group 4,Group 2,6235
5609-CEBID,Female,77,0,0,0,3,0,0,20,Q3,7,1,48.73,1,1,2,12,0,1,1,0,0,1,0,0,1,1,1,94.1,1782.4,0,80,974.6,2837,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices,Group 4,Group 1,5609
5956-VKDTT,Female,72,1,0,0,3,1,4,5,Q3,8,1,45.76,1,1,2,22,0,0,0,0,0,0,0,1,1,1,1,74.35,334.8,0,0,228.8,563.6,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction,Group 4,Group 3,5956
0257-ZESQC,Female,80,1,0,0,3,1,2,27,Q3,7,1,7.02,0,1,3,25,1,0,0,0,0,0,0,1,1,1,1,75.2,1929.35,0,0,189.54,2118.89,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person,Group 4,Group 2,257
2865-TCHJW,Female,74,0,0,0,3,0,0,4,Q3,7,1,48.35,1,1,3,24,0,0,1,0,1,0,0,1,1,1,1,89.2,346.2,0,0,193.4,539.6,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices,Group 3,Group 4,2865
5192-EBGOV,Female,68,0,0,0,3,0,0,1,Q3,8,1,45.81,1,1,2,21,0,0,0,0,1,0,0,1,1,1,1,85.7,85.7,0,0,45.81,131.51,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices,Group 3,Group 3,5192
3419-SNJJD,Female,78,1,0,0,3,1,3,65,Q3,9,1,18.39,1,1,2,28,1,0,1,0,1,1,0,1,1,0,1,105.25,6786.4,0,0,1195.35,7981.75,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person,Group 4,Group 2,3419
4554-YGZIH,Male,75,1,0,0,3,1,3,49,Q3,7,1,22.92,1,1,2,14,0,1,0,0,0,1,0,1,1,0,2,90.05,4547.25,0,0,1123.08,5670.33,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer,Group 4,Group 3,4554
5099-BAILX,Male,77,1,0,0,3,1,1,43,Q3,8,1,14.52,1,1,2,5,0,1,1,1,1,1,0,1,1,1,1,110.75,4687.9,0,0,624.36,5312.26,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer,Group 3,Group 1,5099
4913-EHYUI,Male,80,1,0,0,3,0,0,56,Q3,8,1,48.8,1,1,2,12,1,0,1,0,1,1,0,1,2,1,1,104.55,5794.65,0,0,2732.8,8527.45,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds,Group 4,Group 4,4913
1626-ERCMM,Male,75,1,0,0,3,1,7,20,Q3,8,1,5.31,1,1,2,10,0,0,0,0,1,1,1,1,1,1,1,94.55,1899.65,0,0,106.2,2005.85,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices,Group 4,Group 4,1626
5644-PDMZC,Female,69,0,0,0,3,0,0,2,Q3,9,1,47.47,1,1,2,19,0,1,0,0,0,1,1,1,1,0,1,89.5,161.5,0,0,94.94,256.44,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person,Group 4,Group 1,5644
4160-AMJTL,Female,74,0,0,0,3,0,0,8,Q3,8,1,27.95,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,19.65,164.3,0,0,223.6,387.9,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person,Group 4,Group 4,4160
0823-HSCDJ,Male,76,0,0,0,3,0,0,52,Q3,9,0,0,0,1,1,18,0,1,0,0,1,1,1,0,1,1,1,49.15,2550.9,0,30,0,2580.9,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer,Group 4,Group 4,823
0067-DKWBL,Male,69,0,0,0,3,0,0,2,Q3,7,1,43.99,0,1,1,27,1,0,0,0,0,0,0,1,1,1,1,49.25,91.1,0,0,87.98,179.08,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer,Group 4,Group 2,67
5244-IRFIH,Male,72,1,0,0,3,1,1,33,Q3,9,1,27.78,1,1,2,8,0,0,0,0,1,1,0,1,1,1,1,94.5,3105.55,0,0,916.74,4022.29,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support,Group 4,Group 2,5244
2684-EIWEO,Female,69,0,0,0,3,0,0,30,Q3,7,1,45.88,1,1,2,19,1,1,1,0,0,0,0,1,1,0,2,91.7,2758.15,0,0,1376.4,4134.55,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer,Group 4,Group 1,2684
6683-VLCTZ,Male,73,0,0,0,3,0,0,20,Q3,9,1,44.44,1,1,2,13,0,0,1,0,1,1,0,0,1,1,1,98.55,1842.8,0,120,888.8,2851.6,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer,Group 4,Group 4,6683
0691-IFBQW,Female,65,0,0,0,2,0,0,46,Q3,8,1,2.37,1,1,2,20,1,1,1,0,1,1,1,1,2,1,1,110,4874.8,0,0,109.02,4983.82,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer,Group 4,Group 1,691
3643-AHCFP,Male,74,1,0,0,3,1,1,7,Q3,8,1,21.91,1,1,3,11,0,0,0,0,1,1,0,1,1,1,1,95.6,644.35,0,0,153.37,797.72,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer,Group 4,Group 1,3643
9231-ZJYAM,Female,65,0,0,0,2,0,0,4,Q3,8,1,36.93,0,1,2,18,0,0,0,0,1,0,0,1,1,1,1,78.85,292.8,0,0,147.72,440.52,3,Churned,Yes,1,72,5301,Other,Moved,Group 3,Group 3,9231
0727-BMPLR,Female,66,0,0,0,3,0,0,55,Q3,7,1,37.38,1,1,2,7,0,0,1,0,1,1,1,0,2,1,1,100,5509.3,0,100,2055.9,7665.2,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds,Group 4,Group 4,727
0947-MUGVO,Male,71,1,0,0,3,1,1,20,Q3,9,1,5.37,0,1,2,24,0,1,0,0,0,0,0,1,1,1,1,73.65,1463.5,0,0,107.4,1570.9,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices,Group 4,Group 4,947
0781-LKXBR,Male,65,0,0,0,2,0,0,9,Q3,8,1,48.71,1,1,2,15,0,0,1,0,1,1,1,1,1,1,1,100.5,918.6,0,0,438.39,1356.99,1,Churned,Yes,1,70,4038,Competitor,Competitor had better devices,Group 3,Group 2,781
1907-UBQFC,Male,69,0,0,0,3,0,0,10,Q3,9,1,5.46,0,1,2,24,0,1,0,0,0,0,0,0,1,1,1,72.85,688.65,0,30,54.6,773.25,1,Churned,Yes,1,91,3189,Competitor,Competitor had better devices,Group 4,Group 1,1907
6513-EECDB,Male,75,1,0,0,3,0,0,1,Q3,9,1,36.92,1,1,2,6,0,0,0,0,0,0,0,1,1,1,1,73.55,73.55,0,0,36.92,110.47,2,Churned,Yes,1,94,4369,Price,Price too high,Group 4,Group 2,6513
7074-IEVOJ,Female,75,0,0,0,3,0,0,3,Q3,7,1,41.9,1,1,2,11,0,1,0,0,0,0,0,1,1,1,1,79.4,205.05,0,0,125.7,330.75,1,Churned,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction,Group 4,Group 2,7074
4750-ZRXIU,Female,68,0,0,0,3,0,0,4,Q3,8,1,6.68,1,1,3,17,0,0,0,0,0,1,0,1,1,1,1,84.6,360.1,0,0,26.72,386.82,1,Churned,Yes,1,83,2467,Competitor,Competitor had better devices,Group 4,Group 1,4750
7028-DVOIQ,Male,71,0,0,0,3,0,0,35,Q3,9,1,20.83,1,1,2,19,0,0,1,0,1,1,0,0,1,1,1,99.05,3395.8,0,120,729.05,4244.85,1,Churned,Yes,1,82,2074,Other,Don't know,Group 4,Group 1,7028
4208-UFFGW,Male,80,0,0,0,3,0,0,2,Q3,8,1,26.62,0,1,1,11,0,0,0,0,0,0,0,1,1,0,2,44.95,85.15,0,0,53.24,138.39,2,Churned,Yes,1,84,5900,Other,Don't know,Group 4,Group 4,4208
9889-TMAHG,Male,66,0,0,0,3,0,0,8,Q3,9,1,11.57,0,1,2,27,1,0,0,1,1,1,1,1,1,0,2,100.3,832.35,0,0,92.56,924.91,1,Churned,Yes,1,74,5084,Competitor,Competitor had better devices,Group 3,Group 3,9889
8919-FYFQZ,Male,73,1,0,0,3,1,2,44,Q3,7,0,0,0,1,3,28,0,1,0,0,0,0,0,1,1,1,1,30.35,1359.7,0,0,0,1359.7,1,Churned,Yes,1,96,4829,Competitor,Competitor had better devices,Group 4,Group 3,8919
6646-QVXLR,Male,77,1,0,0,3,1,1,62,Q3,7,1,7.11,1,1,2,16,0,1,1,0,1,1,1,1,2,1,1,103.75,6383.35,0,0,440.82,6824.17,1,Churned,Yes,1,91,5052,Competitor,Competitor had better devices,Group 4,Group 3,6646
9369-XFEHK,Female,76,1,0,0,3,1,1,33,Q3,8,1,33.19,1,1,3,15,0,1,0,0,0,0,0,1,1,1,1,80.6,2656.5,0,0,1095.27,3751.77,2,Churned,Yes,1,72,3601,Competitor,Competitor offered more data,Group 3,Group 2,9369
1374-DMZUI,Female,65,0,0,0,2,0,0,4,Q3,9,1,49.5,1,1,2,23,0,0,0,0,1,1,1,1,1,1,1,94.3,424.45,0,0,198,622.45,2,Churned,Yes,1,91,5419,Competitor,Competitor made better offer,Group 4,Group 4,1374
1989-PRJHP,Male,75,1,0,0,3,1,1,27,Q3,7,1,10.6,1,1,2,23,0,0,0,0,0,0,0,1,1,1,1,75.5,1893.95,0,0,286.2,2180.15,1,Churned,Yes,1,65,2377,Competitor,Competitor had better devices,Group 3,Group 1,1989
4822-RVYBB,Male,75,0,0,0,3,0,0,8,Q3,9,1,40.45,1,1,2,29,0,0,1,0,1,1,0,1,1,1,1,100.6,819.4,0,0,323.6,1143,1,Churned,Yes,1,90,5906,Attitude,Attitude of support person,Group 4,Group 4,4822
4184-TJFAN,Female,68,1,0,0,3,1,1,3,Q3,9,1,25.77,0,1,2,2,1,0,0,1,1,0,0,1,1,1,3,88.3,273.75,0,0,77.31,351.06,1,Churned,Yes,1,68,4486,Attitude,Attitude of support person,Group 3,Group 2,4184
4145-UQXUQ,Female,71,0,0,0,3,0,0,8,Q3,7,1,42.93,0,1,2,9,0,0,1,0,1,1,0,1,1,1,1,92.1,729.95,0,0,343.44,1073.39,1,Churned,Yes,1,81,5662,Competitor,Competitor had better devices,Group 4,Group 4,4145
1236-WFCDV,Male,74,0,0,0,3,0,0,14,Q3,7,1,11.31,0,1,2,24,0,0,0,0,1,1,0,1,1,0,2,90.45,1266.1,0,0,158.34,1424.44,3,Churned,Yes,1,96,4777,Competitor,Competitor offered more data,Group 4,Group 3,1236
1271-SJBGZ,Male,77,0,0,0,3,0,0,12,Q3,9,0,0,0,1,1,10,0,0,1,1,0,1,0,1,1,1,1,43.65,526.95,0,0,0,526.95,1,Churned,Yes,1,74,2437,Competitor,Competitor had better devices,Group 3,Group 1,1271
4441-NIHPT,Female,73,0,0,0,3,0,0,13,Q3,9,1,40.37,0,1,2,21,0,0,1,0,0,0,0,1,1,1,1,74.3,940.35,0,0,524.81,1465.16,1,Churned,Yes,1,90,2995,Competitor,Competitor had better devices,Group 4,Group 1,4441
8999-BOHSE,Female,68,0,0,0,3,0,0,11,Q3,8,1,3.96,0,1,2,27,0,0,0,0,1,1,0,1,1,0,1,89.7,1047.7,0,0,43.56,1091.26,2,Churned,Yes,1,89,2202,Attitude,Attitude of support person,Group 4,Group 1,8999
7029-RPUAV,Male,74,1,0,0,3,1,1,17,Q3,9,1,28.18,1,1,3,16,0,0,1,0,1,1,0,1,1,1,2,100.45,1622.45,0,0,479.06,2101.51,3,Churned,Yes,1,87,5508,Competitor,Competitor offered more data,Group 4,Group 4,7029
8111-SLLHI,Male,65,1,0,0,2,1,1,39,Q3,8,1,33.25,1,1,2,26,0,1,1,0,1,1,1,1,1,1,1,105.65,4284.8,0,0,1296.75,5581.55,3,Churned,Yes,1,96,4687,Attitude,Attitude of support person,Group 4,Group 3,8111
5293-WXJAK,Female,73,1,0,0,3,1,5,11,Q3,8,1,17.25,1,1,2,27,0,0,1,1,1,1,0,1,1,1,1,104.05,1133.65,0,0,189.75,1323.4,3,Churned,Yes,1,82,4553,Competitor,Competitor offered more data,Group 4,Group 3,5293
4086-YQSNZ,Female,74,1,0,0,3,1,1,3,Q3,7,1,3.29,0,1,2,9,0,0,0,0,1,0,0,1,1,1,1,80.4,224.05,0,0,9.87,233.92,2,Churned,Yes,1,89,3834,Attitude,Attitude of service provider,Group 4,Group 2,4086
8399-YNDCH,Male,80,0,0,0,3,0,0,21,Q3,9,1,34.62,0,1,1,14,0,0,1,0,1,0,0,1,1,1,1,60.05,1236.15,0,0,727.02,1963.17,1,Churned,Yes,1,70,4716,Competitor,Competitor had better devices,Group 3,Group 3,8399
5565-FILXA,Female,76,0,0,0,3,0,0,16,Q3,9,1,38.75,1,1,2,16,0,0,0,0,1,1,0,1,1,1,1,96.15,1529.2,0,0,620,2149.2,2,Churned,Yes,1,96,5913,Other,Don't know,Group 4,Group 4,5565
4187-CINZD,Female,73,0,0,0,3,0,0,46,Q3,8,1,6.13,0,1,2,30,0,1,0,0,1,1,0,1,2,0,2,95.25,4424.2,0,0,281.98,4706.18,2,Churned,Yes,1,90,3180,Competitor,Competitor had better devices,Group 4,Group 1,4187
6818-WOBHJ,Female,70,1,0,0,3,1,1,68,Q3,8,1,24.13,1,1,2,24,0,1,0,0,0,1,0,1,1,1,1,89.6,6127.6,0,0,1640.84,7768.44,1,Churned,Yes,1,69,5651,Competitor,Competitor had better devices,Group 3,Group 4,6818
9134-CEQMF,Male,75,1,0,0,3,1,1,7,Q3,7,1,13.63,0,1,2,27,0,0,0,0,1,1,0,1,1,1,1,89.5,676.7,0,0,95.41,772.11,2,Churned,Yes,1,89,3077,Dissatisfaction,Network reliability,Group 4,Group 1,9134
8519-IMDHU,Male,74,1,0,0,3,1,1,15,Q3,9,1,45.25,1,1,3,22,0,0,0,0,0,1,0,1,1,1,1,85.6,1345.55,0,0,678.75,2024.3,1,Churned,Yes,1,83,4981,Competitor,Competitor had better devices,Group 4,Group 3,8519
3372-KWFBM,Male,76,0,0,0,3,0,0,16,Q3,7,1,19.18,1,1,2,22,0,0,0,0,1,0,0,1,1,1,1,86.6,1281,0,0,306.88,1587.88,3,Churned,Yes,1,81,2508,Dissatisfaction,Network reliability,Group 4,Group 1,3372
7206-GZCDC,Female,75,0,0,0,3,0,0,1,Q3,8,1,29.68,0,1,3,18,0,0,0,0,0,0,0,1,1,1,1,69.25,69.25,0,0,29.68,98.93,2,Churned,Yes,1,75,4371,Attitude,Attitude of support person,Group 3,Group 2,7206
1768-ZAIFU,Female,74,0,0,0,3,0,0,1,Q3,9,0,0,0,1,3,5,0,0,0,0,0,0,0,1,1,1,1,25.2,25.2,0,0,0,25.2,1,Churned,Yes,1,67,5688,Competitor,Competitor made better offer,Group 3,Group 4,1768
3793-MMFUH,Female,73,0,0,0,3,0,0,13,Q3,7,1,19.03,1,1,2,24,0,0,0,0,1,1,1,1,1,1,1,95.05,1290,0,0,247.39,1537.39,1,Churned,Yes,1,90,2230,Competitor,Competitor made better offer,Group 4,Group 1,3793
6567-HOOPW,Female,69,0,0,0,3,0,0,1,Q3,8,1,20.06,0,1,2,24,0,0,0,0,1,0,0,1,1,1,1,79.2,79.2,0,0,20.06,99.26,3,Churned,Yes,1,76,4363,Competitor,Competitor made better offer,Group 4,Group 2,6567
8621-MNIHH,Female,75,1,0,0,3,1,1,34,Q3,9,1,2.88,1,1,2,4,0,1,1,0,0,1,0,1,1,1,1,94.25,3217.55,0,0,97.92,3315.47,1,Churned,Yes,1,88,3369,Competitor,Competitor had better devices,Group 4,Group 1,8621
5419-CONWX,Female,65,0,0,0,2,0,0,4,Q3,8,1,12.68,0,1,2,10,0,1,1,0,1,1,1,1,1,1,2,99.8,442.85,0,0,50.72,493.57,1,Churned,Yes,1,89,2268,Competitor,Competitor had better devices,Group 4,Group 1,5419
7024-OHCCK,Female,77,0,0,0,3,0,0,2,Q3,8,1,19.27,1,1,2,18,0,0,0,0,1,1,0,1,1,1,1,93.85,170.85,0,0,38.54,209.39,3,Churned,Yes,1,72,4193,Other,Poor expertise of online support,Group 3,Group 2,7024
5357-TZHPP,Male,67,0,0,0,3,0,0,9,Q3,9,1,30.8,1,1,2,18,0,0,0,0,0,1,0,1,1,1,2,84.4,732.5,0,0,277.2,1009.7,2,Churned,Yes,1,83,5745,Attitude,Attitude of support person,Group 4,Group 4,5357
0506-LVNGN,Female,78,0,0,0,3,0,0,5,Q3,7,1,42.33,0,1,2,9,0,0,1,0,0,0,0,1,1,1,2,75.55,349.65,0,0,211.65,561.3,1,Churned,Yes,1,90,4028,Competitor,Competitor had better devices,Group 4,Group 2,506
9809-IMGCQ,Male,65,0,0,0,2,0,0,22,Q3,9,1,40.18,1,1,2,8,0,0,0,0,1,1,1,0,1,1,1,96.7,2082.95,0,100,883.96,3066.91,1,Churned,Yes,1,93,4458,Competitor,Competitor made better offer,Group 4,Group 2,9809
3254-YRILK,Male,74,0,0,0,3,0,0,19,Q3,8,1,39.97,1,1,2,9,0,1,0,0,1,0,0,1,1,1,1,88.2,1775.8,0,0,759.43,2535.23,1,Churned,Yes,1,69,5683,Competitor,Competitor had better devices,Group 3,Group 4,3254
0529-ONKER,Male,70,0,0,0,3,0,0,15,Q3,9,1,46.38,1,1,2,19,0,0,0,0,0,0,0,1,1,0,1,75.65,1146.65,0,0,695.7,1842.35,3,Churned,Yes,1,96,2099,Attitude,Attitude of support person,Group 4,Group 1,529
5240-IJOQT,Male,69,0,0,0,3,0,0,1,Q3,7,1,11.34,1,1,2,20,0,0,0,0,0,0,0,1,1,1,1,74.7,74.7,0,0,11.34,86.04,1,Churned,Yes,1,88,3348,Competitor,Competitor had better devices,Group 4,Group 1,5240
0661-XEYAN,Female,76,0,0,0,3,0,0,1,Q3,9,0,0,0,1,1,26,0,0,0,0,0,0,0,0,1,1,3,25.8,25.8,0,20,0,45.8,1,Churned,Yes,1,90,3884,Competitor,Competitor had better devices,Group 4,Group 2,661
2660-EMUBI,Male,71,0,0,0,3,0,0,10,Q3,9,1,41.37,1,1,2,14,0,0,0,0,1,1,0,1,1,1,1,95.35,898.35,0,0,413.7,1312.05,1,Churned,Yes,1,75,5353,Competitor,Competitor made better offer,Group 3,Group 3,2660
7675-OZCZG,Female,76,0,0,0,3,0,0,3,Q3,8,1,30.14,0,1,1,6,0,0,0,0,0,0,0,0,1,0,1,45,127.1,0,10,90.42,227.52,3,Churned,Yes,1,77,4145,Competitor,Competitor made better offer,Group 4,Group 2,7675
